WORD,AVERAGE_MISSES
absolve,13
absolved,12
absolves,13
absolving,11
absorb,12
absorbed,10
absorbency,9
absorbent,9
absorber,11
absorbing,9
absorbs,12
absorption,8
absorptions,8
absorptive,10
abstain,11
abstained,9
abstainer,9
abstaining,10
abstains,11
abstention,9
abstentions,9
abstinence,9
abstract,11
abstracted,9
abstracting,8
abstraction,8
abstractions,8
abstractly,10
abstractness,9
abstractor,10
abstractors,10
abstracts,11
abstruse,10
abstruseness,9
absurd,11
absurdities,8
absurdity,9
absurdly,10
abu,14
abundance,10
abundant,11
abundantly,10
abuse,12
abused,11
abuses,12
abusing,10
abusive,13
abut,13
abutment,10
abuts,12
abutted,11
abutter,11
abutters,10
abutting,10
abysmal,12
abysmally,12
abyss,14
abysses,13
abyssinia,12
abyssinian,12
abyssinians,12
acacia,7
academia,9
academic,9
academically,10
academics,8
academies,8
academy,12
acadia,7
acapulco,8
accede,7
acceded,7
accedes,6
accelerate,4
accelerated,4
accelerates,3
accelerating,4
acceleration,1
accelerator,3
accelerators,2
accent,5
accented,5
accenting,6
accents,4
accentual,5
accentuate,6
accentuated,5
accentuates,5
accentuating,5
accentuation,4
accept,9
acceptable,10
acceptably,10
acceptance,8
acceptances,7
accepted,8
accepter,8
accepters,7
accepting,6
acceptor,7
acceptors,6
accepts,8
access,6
accessed,6
accesses,6
accessible,10
accessibly,10
accessing,6
accession,3
accessions,3
accessories,3
accessors,4
accessory,11
accident,4
accidental,3
accidentally,9
accidently,9
accidents,3
acclaim,10
acclaimed,8
acclaiming,8
acclaims,9
acclamation,7
acclimate,8
acclimated,7
acclimates,7
acclimating,7
acclimatized,14
accolade,5
accolades,4
accommodate,8
accommodated,8
accommodates,7
accompanied,6
accompanies,6
accompanist,6
accompanists,6
accompany,11
accompanying,9
accomplice,7
accomplices,6
accomplish,7
accomplished,5
accomplisher,5
accomplishes,6
accord,6
accordance,4
accorded,5
accorder,5
accorders,4
according,5
accordingly,8
accordion,4
accordions,3
accords,5
accost,5
accosted,4
accosting,5
accosts,5
account,6
accountable,8
accountably,9
accountancy,11
accountant,6
accountants,5
accounted,4
accounting,5
accounts,5
accra,7
accredit,4
accredited,4
accretion,2
accretions,1
accrue,7
accrued,6
accrues,6
accruing,6
acculturate,5
acculturated,4
acculturates,4
accumulate,8
accumulated,7
accumulates,7
accumulating,6
accumulation,6
accumulator,7
accumulators,6
accuracies,5
accuracy,13
accurate,6
accurately,10
accurateness,4
accursed,5
accusal,7
accusation,4
accusations,4
accusative,12
accuse,7
accused,6
accuser,6
accuses,7
accusing,6
accusingly,9
accustom,8
accustomed,6
accustoming,5
accustoms,8
ace,7
aces,6
acetate,6
acetone,4
acetylene,11
achaean,11
achaeans,10
ache,12
ached,11
aches,11
achievable,12
achieve,14
achieved,13
achievement,11
achievements,10
achiever,13
achievers,12
achieves,13
achieving,12
achilles,9
aching,10
acid,7
acidic,7
acidities,4
acidity,12
acidly,12
acids,6
acidulous,4
ackerman,14
ackley,15
acknowledge,12
acknowledged,12
acknowledger,11
acknowledges,11
acme,11
acne,6
acolyte,11
acolytes,10
acorn,5
acorns,4
acoustic,5
acoustical,4
acoustically,9
acoustician,4
acoustics,5
acquaint,19
acquaintance,18
acquainted,17
acquainting,18
acquaints,18
acquiesce,19
acquiesced,18
acquiescence,18
acquiescent,17
acquiesces,19
acquiescing,17
acquirable,17
acquire,19
acquired,18
acquires,18
acquiring,18
acquisition,17
acquisitions,17
acquisitive,17
acquit,20
acquits,19
acquittal,19
acquitted,18
acquitter,18
acquitting,18
acre,6
acreage,8
acres,5
acrid,6
acrimonious,6
acrimony,10
acrobat,11
acrobatic,10
acrobatics,9
acrobats,10
acronym,11
acronyms,10
acropolis,6
across,5
acrylic,12
act,7
acta,7
actaeon,4
acted,6
acting,7
actinium,8
actinometer,6
actinometers,5
action,4
actions,3
activate,14
activated,13
activates,13
activating,13
activation,13
activations,12
activator,13
activators,12
active,14
actively,12
activism,13
activist,14
activists,14
activities,13
activity,14
acton,5
actor,5
actors,4
actress,4
actresses,4
acts,6
actual,7
actualities,4
actuality,11
actually,12
actuals,6
actuarial,5
actuarially,10
actuate,7
actuated,6
actuates,6
actuating,6
actuator,6
actuators,5
acuity,12
acumen,9
acute,7
acutely,11
acuteness,5
acyclic,13
acyclically,13
ad,9
ada,9
adage,9
adages,8
adagio,8
adagios,7
adair,7
adam,12
adamant,10
adamantly,11
adams,11
adamson,9
adapt,10
adaptability,10
adaptable,10
adaptation,7
adaptations,6
adapted,9
adapter,8
adapters,7
adapting,7
adaptive,13
adaptively,11
adaptor,8
adaptors,7
adapts,9
add,9
added,8
addend,7
addenda,7
addendum,9
adder,7
adders,6
addict,6
addicted,5
addicting,6
addiction,4
addictions,3
addicts,5
adding,8
addis,7
addison,5
addition,5
additional,4
additionally,10
additions,4
additive,14
additives,13
additivity,14
address,6
addressable,10
addressed,6
addressee,6
addressees,6
addresser,6
addressers,6
addresses,6
addressing,5
adds,8
adduce,7
adduced,7
adduces,6
adducible,9
adducing,6
adduct,7
adducted,6
adducting,5
adduction,4
adductor,5
adducts,6
adelaide,6
adele,7
adelia,6
aden,7
adept,9
adequacies,18
adequacy,19
adequate,20
adequately,18
adhere,11
adhered,11
adherence,9
adherent,9
adherents,8
adherer,11
adherers,10
adheres,10
adhering,8
adhesion,8
adhesions,8
adhesive,13
adhesives,13
adiabatic,11
adieu,7
adirondack,13
adirondacks,12
adjacency,18
adjacent,18
adjective,17
adjectives,16
adjoin,19
adjoined,18
adjoining,18
adjoins,18
adjourn,18
adjourned,17
adjourning,16
adjournment,15
adjourns,17
adjudge,19
adjudged,19
adjudges,18
adjudging,18
adjudicate,17
adjudicated,17
adjudicates,16
adjudicating,16
adjudication,16
adjunct,18
adjuncts,17
adjure,19
adjured,19
adjures,18
adjuring,17
adjust,19
adjustable,16
adjustably,16
adjusted,18
adjuster,17
adjusters,17
adjusting,16
adjustment,16
adjustments,16
adjustor,17
adjustors,17
adjusts,19
adjutant,19
adjutants,18
adkins,15
adler,6
adlerian,4
administer,6
administered,6
administers,6
administrate,6
admirable,9
admirably,10
admiral,9
admirals,8
admiralty,10
admiration,7
admirations,6
admire,9
admired,9
admirer,9
admirers,8
admires,8
admiring,8
admiringly,9
admissible,9
admission,8
admissions,8
admit,10
admits,9
admittance,7
admitted,9
admittedly,10
admitter,8
admitters,7
admitting,8
admix,19
admixed,18
admixes,17
admixture,15
admonish,8
admonished,7
admonishes,7
admonishing,7
admonishment,6
admonition,8
admonitions,7
ado,8
adobe,12
adolescence,3
adolescent,2
adolescents,2
adolph,10
adolphus,8
adonis,5
adopt,9
adopted,8
adopter,7
adopters,6
adopting,6
adoption,7
adoptions,6
adoptive,12
adopts,8
adorable,10
adoration,4
adore,6
adored,6
adores,5
adorn,6
adorned,5
adornment,7
adornments,6
adorns,5
adrenal,5
adrenaline,4
adrian,6
adriatic,5
adrienne,5
adrift,13
adroit,5
adroitness,2
ads,8
adsorb,11
adsorbed,10
adsorbing,8
adsorbs,11
adsorption,5
adulate,6
adulating,5
adulation,4
adult,7
adulterate,5
adulterated,5
adulterates,4
adulterating,3
adulterer,5
adulterers,4
adulterous,3
adulterously,8
adultery,10
adulthood,9
adults,6
adumbrate,9
adumbrated,9
adumbrates,8
adumbrating,7
adumbration,7
advance,14
advanced,14
advancement,12
advancements,11
advances,13
advancing,13
advantage,13
advantaged,13
advantageous,10
advantages,12
advent,14
adventist,12
adventists,12
adventitious,10
adventure,12
adventured,12
adventurer,12
adventurers,11
adventures,11
adventuring,10
adventurous,10
adverb,14
adverbial,12
adverbs,13
adversaries,13
adversary,13
adverse,14
adversely,12
adversities,12
adversity,11
advert,14
advertise,12
advertised,12
advertiser,12
advertisers,12
advertises,12
advertising,10
advice,14
advisability,11
advisable,12
advisably,12
advise,14
advised,14
advisedly,12
advisee,14
advisees,14
advisement,11
advisements,11
adviser,13
advisers,13
advises,14
advising,13
advisor,13
advisors,13
advisory,12
advocacy,14
advocate,13
advocated,13
advocates,12
advocating,11
aegean,9
aegis,8
aeneas,2
aeneid,6
aeolus,6
aerate,3
aerated,6
aerates,2
aerating,6
aeration,1
aerator,3
aerators,2
aerial,4
aerials,3
aeroacoustic,3
aerobacter,10
aerobic,10
aerobics,9
aerodynamic,8
aerodynamics,7
aeronautic,3
aeronautical,2
aeronautics,2
aerosol,3
aerosolize,15
aerosols,3
aerospace,7
aeschylus,10
aesop,9
aesthetic,9
aesthetics,9
afar,16
affable,14
affair,15
affairs,14
affect,14
affectation,11
affectations,10
affected,13
affecting,11
affectingly,9
affection,11
affectionate,11
affections,10
affective,13
affects,13
afferent,13
affianced,12
affidavit,14
affidavits,13
affiliate,13
affiliated,12
affiliates,12
affiliating,12
affiliation,12
affiliations,11
affinities,12
affinity,13
affirm,14
affirmation,11
affirmations,10
affirmative,12
affirmed,12
affirming,12
affirms,13
affix,20
affixed,18
affixes,18
affixing,18
afflict,13
afflicted,11
afflicting,11
affliction,11
afflictions,10
afflictive,12
afflicts,12
affluence,12
affluent,12
afford,14
affordable,11
afforded,13
affording,11
affords,13
affricate,12
affricates,11
affright,12
affront,13
affronted,11
affronting,11
affronts,12
afghan,14
afghanistan,11
afghans,13
aficionado,12
afield,13
afire,14
aflame,14
afloat,14
afoot,15
afore,14
aforesaid,11
aforethought,10
afoul,14
afraid,14
afresh,13
africa,14
african,13
africanize,15
africanized,14
africanizes,14
africanizing,15
africans,12
afrikaans,14
afrikaner,14
afrikaners,13
aft,16
after,14
aftereffect,13
afterglow,13
afterimage,11
afterlife,12
aftermath,12
aftermost,11
afternoon,12
afternoons,11
aftershock,11
aftershocks,11
afterthought,10
afterward,15
afterwards,14
again,9
against,7
agamemnon,9
agape,10
agar,10
agate,9
agates,8
agatha,12
age,10
aged,9
agee,10
ageless,8
agencies,6
agency,12
agenda,8
agendas,7
agent,8
agents,7
ager,9
agers,8
ages,9
aggie,9
aggies,8
agglomerate,7
agglomerated,6
agglomerates,6
agglutinate,5
agglutinated,4
agglutinates,4
agglutinin,6
agglutinins,5
aggrandize,15
aggravate,14
aggravated,13
aggravates,13
aggravation,12
aggregate,8
aggregated,7
aggregately,11
aggregates,7
aggregating,6
aggregation,5
aggregations,4
aggression,5
aggressions,5
aggressive,13
aggressively,11
aggressor,7
aggressors,7
aggrieve,14
aggrieved,13
aggrieves,13
aggrieving,13
aghast,11
agile,8
agilely,12
agility,12
aging,9
agitate,8
agitated,7
agitates,7
agitating,8
agitation,7
agitations,6
agitator,7
agitators,6
agleam,10
aglow,17
agnes,8
agnew,17
agnostic,5
agnostics,5
ago,10
agog,10
agonies,6
agonize,16
agonized,15
agonizes,15
agonizing,17
agonizingly,15
agony,13
agrarian,8
agree,9
agreeable,11
agreeably,11
agreed,8
agreeing,7
agreement,8
agreements,7
agreer,9
agreers,8
agrees,8
agricola,6
agricultural,5
agriculture,4
ague,9
agway,18
ah,14
ahead,12
ahmadabad,12
ahmedabad,11
aid,8
aida,8
aide,7
aided,7
aides,6
aiding,8
aids,7
aiken,16
ail,6
aileen,4
aileron,2
ailerons,1
ailing,8
ailment,8
ailments,7
aim,12
aimed,10
aimer,10
aimers,9
aiming,10
aimless,9
aimlessly,11
aims,11
ainu,8
ainus,7
air,2
airbag,12
airbags,11
airborne,10
airbus,11
aircraft,13
airdrop,8
airdrops,7
aired,6
airedale,5
airer,1
airers,0
aires,0
airfare,14
airfield,12
airfields,11
airflow,15
airfoil,13
airfoils,12
airframe,13
airframes,12
airily,13
airing,8
airings,7
airless,3
airlift,13
airlifts,12
airline,3
airliner,3
airlines,2
airlock,14
airlocks,13
airmail,10
airmails,9
airman,10
airmen,9
airplane,7
airplanes,6
airport,8
airports,7
airs,1
airship,10
airships,10
airspace,7
airspeed,7
airstrip,8
airstrips,8
airtight,10
airway,17
airways,16
airy,14
aisle,4
aitken,15
ajar,22
ajax,22
akers,16
akimbo,15
akin,17
akron,16
al,7
alabama,13
alabamans,11
alabamian,11
alabaster,10
alacrity,11
aladdin,6
alameda,10
alamo,11
alamos,10
alan,6
alar,6
alarm,11
alarmed,9
alarming,8
alarmingly,10
alarmist,8
alarms,10
alas,6
alaska,17
alaskan,16
alastair,3
alba,14
albacore,10
albania,12
albanian,12
albanians,11
albany,13
albatross,10
albeit,11
alberich,9
albert,11
alberta,11
alberto,10
albrecht,9
albright,9
album,12
albumin,10
albums,11
albuquerque,19
alcestis,3
alchemy,11
alcibiades,9
alcmena,9
alcoa,6
alcohol,11
alcoholic,10
alcoholics,9
alcoholism,8
alcohols,10
alcott,5
alcove,14
alcoves,13
aldebaran,10
alden,6
alder,6
alderman,8
aldermen,8
aldrich,9
ale,6
alec,6
aleck,16
alee,6
alert,4
alerted,5
alertedly,11
alerter,4
alerters,3
alerting,5
alertly,12
alertness,2
alerts,3
aleut,7
aleutian,5
alex,20
alexander,17
alexandra,17
alexandre,17
alexandria,16
alexandrine,16
alexei,19
alexis,18
alfa,16
alfalfa,16
alfonso,13
alfred,13
alfredo,12
alfresco,11
alga,10
algae,9
algaecide,6
algebra,11
algebraic,9
algebras,10
algenib,10
alger,8
algeria,7
algerian,6
algiers,6
alginate,6
algol,9
algonquian,18
algonquin,18
algorithm,7
algorithmic,6
algorithms,6
alhambra,11
ali,6
alias,5
aliased,5
aliases,4
aliasing,7
alibi,13
alibis,12
alice,5
alicia,6
alien,4
alienate,3
alienated,4
alienates,2
alienating,6
alienation,2
aliens,3
alight,10
align,8
aligned,6
aligning,8
alignment,7
alignments,6
aligns,7
alike,16
aliment,8
aliments,7
alimony,11
alison,3
alistair,3
alive,15
alkali,17
alkaline,15
alkalis,16
alkaloid,15
alkaloids,14
alkyl,17
all,7
allah,13
allan,6
allay,15
allayed,13
allaying,12
allays,14
allegation,5
allegations,4
allege,9
alleged,8
allegedly,12
alleges,8
alleghenies,8
allegheny,11
allegiance,6
allegiances,5
alleging,7
allegoric,5
allegorical,5
allegories,5
allegory,11
allegra,8
allegretto,6
allegrettos,5
allele,6
alleles,5
allemande,9
allen,5
allendale,6
allentown,15
allergic,6
allergies,6
allergy,12
alleviate,14
alleviated,13
alleviates,13
alleviating,12
alleviation,12
alley,14
alleys,13
alleyway,17
alleyways,16
alliance,4
alliances,3
allied,6
allies,4
alligator,6
alligators,5
allis,5
allison,3
alliteration,1
alliterative,13
allocatable,10
allocate,4
allocated,4
allocates,3
allocating,5
allocation,3
allocations,2
allocator,4
allocators,3
allophone,9
allophones,8
allophonic,8
allot,5
allotment,8
allotments,7
allots,4
allotted,5
allotter,3
allotting,6
allow,18
allowable,16
allowably,16
allowance,15
allowances,14
allowed,16
allowing,15
allows,17
alloy,14
alloys,13
allstate,4
allude,7
alluded,7
alludes,6
alluding,6
allure,7
allurement,7
alluring,6
allusion,5
allusions,5
allusive,13
allusiveness,12
ally,15
allying,12
allyn,14
alma,12
almaden,9
almanac,10
almanacs,9
almighty,10
almond,9
almonds,8
almoner,8
almost,9
alms,11
almsman,10
alnico,4
aloe,5
aloes,4
aloft,14
aloha,12
alone,4
aloneness,3
along,8
alongside,4
aloof,15
aloofness,12
aloud,7
alpert,8
alpha,12
alphabet,10
alphabetic,8
alphabetical,8
alphabetics,7
alphabetize,14
alphabetized,13
alphabetizes,13
alphabets,9
alphanumeric,5
alpheratz,15
alphonse,8
alpine,8
alps,10
already,12
alsatian,3
alsatians,3
also,5
alsop,9
altair,4
altar,5
altars,4
alter,4
alterable,11
alteration,1
alterations,0
altercation,1
altercations,0
altered,5
alterer,4
alterers,3
altering,5
alternate,3
alternated,4
alternately,11
alternates,2
alternating,5
alternation,1
alternations,0
alternative,12
alternatives,11
alternator,2
alternators,1
alters,3
althaea,11
although,9
altitude,5
altitudes,4
altogether,8
alton,4
altos,4
altruism,7
altruist,5
altruistic,4
alum,11
aluminum,9
alumna,10
alumnae,9
alumni,9
alumnus,9
alundum,9
alva,17
alvarez,17
alveolar,14
alveoli,14
alveolus,13
alvin,15
always,17
alyssa,14
am,13
amadeus,9
amain,11
amalgam,11
amalgamate,9
amalgamated,8
amalgamates,8
amalgamating,8
amalgamation,7
amalgams,10
amanda,11
amanuensis,8
amaretto,9
amarillo,9
amass,12
amassed,10
amasses,11
amassing,9
amateur,9
amateurish,7
amateurism,7
amateurs,8
amatory,12
amaze,19
amazed,18
amazedly,16
amazement,17
amazer,18
amazers,17
amazes,18
amazing,17
amazingly,15
amazon,18
amazons,17
ambassador,10
ambassadors,10
amber,12
ambiance,10
ambidextrous,12
ambient,10
ambiguities,8
ambiguity,10
ambiguous,9
ambiguously,8
ambition,10
ambitions,9
ambitious,9
ambitiously,8
ambivalence,11
ambivalent,11
ambivalently,10
amble,12
ambled,11
ambler,11
ambles,11
ambling,10
ambrosial,9
ambulance,9
ambulances,8
ambulatory,9
ambuscade,9
ambush,11
ambushed,9
ambushes,10
amdahl,11
amelia,10
ameliorate,7
ameliorated,6
ameliorating,5
amelioration,6
amen,11
amenable,11
amend,10
amended,10
amending,8
amendment,9
amendments,8
amends,9
amenities,8
amenity,11
amenorrhea,9
amerada,10
america,9
american,8
americana,8
americanism,7
americanize,15
americanizer,15
americanizes,14
americans,7
americas,8
americium,8
ames,11
amharic,10
amherst,9
amiable,11
amicable,10
amicably,11
amid,11
amide,10
amidst,9
amiga,11
amigo,10
amino,10
amiss,11
amity,13
amman,12
ammerman,10
ammo,12
ammonia,10
ammoniac,9
ammonium,9
ammunition,8
amnesty,11
amoco,11
amoeba,12
amoebae,12
amoebas,11
amok,17
among,10
amongst,8
amontillado,7
amoral,10
amorality,10
amorist,8
amorous,9
amorphous,8
amorphously,8
amortize,15
amortized,14
amortizes,14
amortizing,14
amos,11
amount,9
amounted,7
amounter,7
amounters,6
amounting,7
amounts,8
amour,10
amperage,9
ampere,10
amperes,9
ampersand,7
ampersands,7
ampex,19
amphetamine,8
amphetamines,7
amphibian,10
amphibians,9
amphibious,8
amphibiously,7
amphibology,8
amphitheater,8
ample,10
amplified,11
amplifier,11
amplifiers,10
amplifies,11
amplify,12
amplifying,10
amplitude,6
amplitudes,5
amply,13
ampoule,8
ampoules,7
amputate,9
amputated,8
amputates,8
amputating,7
amsterdam,8
amtrak,16
amulet,9
amulets,8
amuse,10
amused,9
amusedly,10
amusement,8
amusements,8
amuser,9
amusers,9
amuses,10
amusing,8
amusingly,9
amy,15
amyl,14
an,4
anabaptist,10
anabaptists,10
anabel,12
anachronism,7
anachronisms,7
anaconda,6
anacondas,5
anacreon,4
anaerobic,9
anagram,10
anagrams,9
anaheim,10
anal,6
analects,3
analog,8
analogical,6
analogies,5
analogous,6
analogously,10
analogue,6
analogues,5
analogy,12
analyses,12
analysis,12
analyst,12
analysts,12
analytic,11
analytical,11
analytically,11
analyticity,11
analyzable,16
analyze,17
analyzed,16
analyzer,16
analyzers,15
analyzes,16
analyzing,16
anaphora,10
anaphoric,8
anaplasmosis,7
anarchic,10
anarchical,9
anarchism,8
anarchist,8
anarchists,8
anarchy,12
anastasia,2
anastomoses,8
anastomosis,8
anastomotic,7
anathema,10
anatole,3
anatolia,3
anatolian,3
anatomic,8
anatomical,7
anatomically,9
anatomy,12
ancestor,2
ancestors,2
ancestral,2
ancestry,10
anchor,10
anchorage,8
anchorages,7
anchored,8
anchoring,8
anchorite,7
anchoritism,6
anchors,9
anchovies,11
anchovy,13
ancient,4
anciently,10
ancients,3
ancillary,11
and,8
andalusia,5
andalusian,5
andalusians,5
andean,7
anders,5
andersen,5
anderson,4
andes,6
anding,8
andorra,6
andover,13
andre,6
andrea,6
andrei,5
andrew,16
andrews,15
andromache,7
andromeda,8
andy,14
anecdotal,3
anecdote,4
anecdotes,3
anechoic,9
anemia,10
anemic,9
anemometer,8
anemometers,7
anemometry,10
anemone,10
anesthesia,9
anesthetic,8
anesthetics,8
anesthetize,15
anesthetized,14
anesthetizes,15
anew,18
angel,8
angela,8
angeleno,7
angelenos,6
angeles,7
angelic,6
angelica,6
angelina,7
angeline,7
angelo,7
angels,7
anger,8
angered,7
angering,7
angers,7
angie,8
angiography,9
angle,8
angled,7
angler,7
anglers,6
angles,7
anglia,8
anglican,7
anglicanism,7
anglicanize,15
anglicanizes,14
anglicans,6
angling,8
anglo,8
anglophilia,8
anglophobia,8
angola,8
angora,8
angrier,7
angriest,5
angrily,11
angry,13
angst,8
angstrom,7
anguish,9
anguished,7
angular,7
angularly,11
angus,8
anheuser,9
anhydrous,9
anhydrously,8
aniline,4
animal,10
animals,9
animate,9
animated,8
animatedly,9
animately,10
animateness,8
animates,8
animating,9
animation,9
animations,8
animator,8
animators,7
animism,10
animized,16
animosity,10
anion,4
anionic,5
anions,3
anise,1
aniseikonic,13
anisotropic,5
anisotropy,9
anita,3
ankara,17
ankle,16
ankles,15
ann,4
anna,4
annal,6
annalist,3
annalistic,3
annals,5
annapolis,7
anne,3
annette,3
annex,20
annexation,17
annexed,19
annexes,19
annexing,18
annie,2
annihilate,9
annihilated,8
annihilates,8
annihilating,9
annihilation,9
anniversary,12
annotate,3
annotated,5
annotates,2
annotating,7
annotation,3
annotations,2
announce,6
announced,5
announcement,7
announcer,5
announcers,4
announces,5
announcing,6
annoy,14
annoyance,12
annoyances,11
annoyed,12
annoyer,12
annoyers,11
annoying,12
annoyingly,11
annoys,13
annual,8
annually,13
annuals,7
annuity,12
annul,8
annular,7
annuli,7
annulled,6
annulling,7
annulment,8
annulments,7
annuls,7
annulus,7
annum,11
annunciate,5
annunciated,4
annunciates,4
annunciating,6
annunciator,4
annunciators,3
anode,6
anodes,5
anodize,16
anodized,16
anodizes,15
anoint,3
anointed,4
anointing,7
anoints,2
anomalies,7
anomalous,8
anomalously,10
anomaly,12
anomic,9
anomie,9
anon,5
anonymity,11
anonymous,11
anonymously,10
anorexia,17
another,9
anselm,9
anselmo,8
ansi,2
answer,16
answerable,14
answered,15
answerer,16
answerers,16
answering,14
answers,16
ant,4
antaeus,6
antagonism,7
antagonisms,7
antagonist,6
antagonistic,5
antagonists,6
antagonize,15
antagonized,14
antagonizes,14
antagonizing,16
antarctic,4
antarctica,4
antares,1
ante,3
anteater,2
anteaters,1
antecedent,5
antecedents,4
antedate,6
antelope,7
antelopes,6
antenna,3
antennae,3
antennas,2
anterior,1
anthem,10
anthems,9
anther,10
anthologies,6
anthology,10
anthony,12
anthracite,8
anthropology,8
anti,3
antibiotic,10
antibiotics,9
antibodies,8
antibody,10
antic,5
anticipate,7
anticipated,6
anticipates,6
anticipating,7
anticipation,7
anticipatory,9
antics,4
antidote,4
antidotes,3
antietam,9
antiformant,11
antigen,7
antigens,6
antigone,6
antilles,2
antimony,11
antinomian,9
antinomy,11
antioch,9
antipathy,11
antiphonal,8
antipode,6
antipodes,5
antiquarian,19
antiquarians,18
antiquate,19
antiquated,18
antique,19
antiques,18
antiquities,18
antiquity,19
antisemitic,7
antisemitism,8
antiseptic,6
antisera,0
antiserum,6
antislavery,10
antisocial,2
antisymmetry,9
antithesis,9
antithetical,8
antithyroid,9
antitoxin,18
antitoxins,17
antitrust,5
antler,3
antlered,4
antoine,2
antoinette,2
anton,4
antonio,3
antonovics,12
antony,13
ants,3
antwerp,15
anus,8
anvil,15
anvils,14
anxieties,17
anxiety,17
anxious,17
anxiously,15
any,15
anybody,12
anyhow,16
anymore,11
anyone,13
anyplace,11
anything,11
anytime,11
anyway,18
anywhere,15
aorta,4
apace,10
apaches,10
apalachicola,9
apart,10
apartment,8
apartments,7
apathetic,9
apathy,13
ape,11
aped,10
aperiodic,6
aperiodicity,8
aperture,8
apes,10
apetalous,6
apex,20
aphasia,11
aphasic,10
aphelion,8
aphid,11
aphids,10
aphonic,9
aphorism,8
aphorisms,8
aphrodite,7
apiaries,8
apiary,13
apical,9
apiece,9
aping,9
apish,11
aplenty,11
aplomb,11
apocalypse,10
apocalyptic,10
apocrypha,11
apocryphal,10
apogee,9
apogees,8
apollinaire,6
apollo,10
apollonian,8
apologetic,5
apologia,8
apologies,6
apologist,6
apologists,6
apologize,15
apologized,14
apologizes,14
apologizing,15
apology,12
apostate,8
apostle,7
apostles,7
apostolic,6
apostrophe,8
apostrophes,8
apothecary,9
apothegm,8
apotheoses,9
apotheosis,8
appalachia,10
appalachian,9
appalachians,8
appall,11
appalled,9
appalling,8
appallingly,11
appaloosas,9
appanage,9
apparatus,8
apparel,9
appareled,8
apparent,8
apparently,10
apparition,7
apparitions,6
appeal,10
appealed,9
appealer,9
appealers,8
appealing,7
appealingly,10
appeals,9
appear,10
appearance,8
appearances,7
appeared,9
appearer,10
appearers,9
appearing,7
appears,9
appease,10
appeased,9
appeasement,8
appeases,10
appeasing,7
appellant,8
appellants,7
appellate,9
appellation,6
append,9
appendage,8
appendages,7
appended,9
appender,8
appenders,7
appendices,6
appendicitis,5
appending,7
appendix,17
appendixes,16
appends,8
appertain,7
appertains,6
appetite,9
appetites,8
appetizer,16
appetizing,15
appia,11
appian,10
applaud,9
applauded,8
applauding,6
applauds,8
applause,8
apple,10
appleby,12
applejack,18
apples,9
appleton,7
appliance,7
appliances,6
applicable,10
applicant,7
applicants,6
application,6
applications,5
applicative,12
applicator,6
applicators,5
applied,8
applier,8
appliers,7
applies,8
applique,19
apply,14
applying,11
appoint,8
appointed,6
appointee,7
appointees,6
appointer,6
appointers,5
appointing,7
appointive,12
appointment,7
appointments,6
appoints,7
appomattox,18
apportion,7
apportioned,5
